"Timestamp","Gender","Age","Did you play PUBG before the ban?","If yes, then the number of average hours you played pubg in a day?","Are you happy with the ban on PUBG?","Are you against the ban of pubg?","Are you shifting towards any other game after the ban on pubg?","Which games are you shifting towards after the ban on pubg?","Can any of these games replace pubg?","Are you excited about FAU-G( Indian rival to PUBG Mobile (releasing soon))","Will you play FAU-G( Indian rival to PUBG Mobile (releasing soon))?","If yes then why will you play the FAU-G game?"
"2020/09/05 6:51:43 pm GMT+5:30","Male","20","No","","yes","no","No","","","no","No",""
"2020/09/05 6:59:46 pm GMT+5:30","Male","20","Yes","0-1","no","no","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:09:03 pm GMT+5:30","Female","21","Yes","0-1","yes","no","No","","Nothing can replace pubg","no","No","to support atma nirbhar bharat moment only"
"2020/09/05 7:37:58 pm GMT+5:30","Male","19","Yes","2-3","yes","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:02:51 pm GMT+5:30","Male","20","Yes","2-3","no","Yes","Maybe","Garena Free Fire","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 8:05:31 pm GMT+5:30","Female","20","No","","yes","no","No","","","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 8:38:21 pm GMT+5:30","Male","19","Yes","2-3","no","Yes","Maybe","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon);Nothing can replace pubg","no","Yes",""
"2020/09/05 9:51:20 pm GMT+5:30","Male","20","Yes","2-3","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 10:44:08 pm GMT+5:30","Male","20","Yes","2-3","no","no","No","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 11:02:05 pm GMT+5:30","Male","101","Yes","2-3","no","Yes","No","","Nothing can replace pubg","no","No",""
"2020/09/05 11:04:58 pm GMT+5:30","Male","20","No","","yes","no","Maybe","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 11:08:53 pm GMT+5:30","Male","21","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No",""
"2020/09/05 11:21:41 pm GMT+5:30","Male","20","Yes","1-2","yes","no","No","","Nothing can replace pubg","Yes","No",""
"2020/09/05 11:24:54 pm GMT+5:30","Male","20","Yes","2-3","no","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No","to support atma nirbhar bharat moment only"
"2020/09/05 11:38:47 pm GMT+5:30","Male","21","Yes","1-2","yes","no","No","","","no","No",""
"2020/09/06 2:15:32 am GMT+5:30","Male","20","No","","yes","no","No","","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/06 7:24:08 am GMT+5:30","Male","49","Yes","2-3","no","no","Yes","Call of Duty Mobile","Nothing can replace pubg","no","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 8:56:43 am GMT+5:30","Female","20","Yes","1-2","no","Yes","No","","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 9:23:55 am GMT+5:30","Male","20","Yes","2-3","yes","no","Maybe","","","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 12:42:13 pm GMT+5:30","Female","21","Yes","2-3","no","Yes","No","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 1:43:09 pm GMT+5:30","Male","20","Yes","1-2","yes","no","No","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 7:05:11 pm GMT+5:30","Male","20","Yes","","yes","no","No","","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/06 7:39:31 pm GMT+5:30","Male","21","Yes","1-2","yes","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 7:41:23 pm GMT+5:30","Male","21","Yes","0-1","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 8:06:05 pm GMT+5:30","Male","20","Yes","2-3","no","Yes","No","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 9:15:41 pm GMT+5:30","Male","21","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 9:29:55 pm GMT+5:30","Male","22","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon);Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/06 10:23:50 pm GMT+5:30","Male","19","Yes","2-3","no","no","Yes","Fortnite Battle Royale","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:34:29 pm GMT+5:30","Female","24","Yes","0-1","yes","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:38:09 pm GMT+5:30","Male","23","Yes","0-1","yes","no","Yes","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:38:37 pm GMT+5:30","Female","21","No","","yes","no","","","","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:39:01 pm GMT+5:30","Male","21","Yes","0-1","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile","no","No",""
"2020/09/06 10:39:25 pm GMT+5:30","Female","21","No","","yes","Yes","","","","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
